action,keywords,parent,description,title,application_type
main_edit_delete_pick,,,Pick atoms in the Workspace to delete the atom grouping that is currently selected for picking.,,
main_edit_delete_polar_hydrogen,,,Delete all polar hydrogen atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_protein,,,Delete all protein atoms. ,,
main_edit_delete_protein_backbone,,,Delete all protein backbone atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_protein_near_ligand,,,Delete protein atoms that are within 5 &Aring; of any ligand atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_protein_sidechain,,,Delete all protein side-chain atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_ribbons,,,Delete all ribbons from the Workspace.,,
main_edit_delete_select,,,Select atoms to delete using the Atom Selection dialog box. ,,
main_edit_delete_selected_atoms,,,Delete the selected atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_waters,,,Delete all water molecules. The moleculse are removed from the structures as well as from the Workspace.,,
main_edit_delete_zero_order_bonds,,,Remove zero-order bonds from Workspace structures. ,,
main_edit_display_interactions,,,Display interactions such as contacts with other atoms in the Workspace while doing local transformations. The interaction markers are updated as the local transformation proceeds.,,
main_edit_htreat_advanced,,,Opens the Add Hydrogens - Advanced panel in which you can choose a force-field treatment and apply it to selected atoms. The force-field treatment can include explicit hydrogens (all-atom) or include the hydrogens in united-atom models.,,
main_edit_htreat_all,,,"Add hydrogens to all atoms in the Workspace that lack them, to satisfy the valence.",,
main_edit_htreat_pick,,,"Add hydrogens to the atoms you pick in the Workspace, to satisfy the valence.",,
main_edit_htreat_select,,,"Add hydrogens to selected atoms. Opens the Atom Selection dialog box, so you can make the selection.",,
main_edit_htreat_selected,,,"Add hydrogens to the selected atoms in the Workspace, to satisfy the valence.",,
main_edit_mark_all,,,Mark all entries in the Project Table.,,
main_edit_mark_included,,,Mark the entries that are included in the Workspace.,,
main_edit_mark_invert,,,"Invert the marking of the selected entries, or all entries if there is no selection.",,
main_edit_mark_none,,,Clear the Mark property for all entries.,,
main_edit_mark_selected,,,Mark the entries that are selected in the Project Table.,,
main_edit_paste_as_3d,,,"Convert a 1D or 2D structure to 3D, using any stereochemical information, and paste it into the Workspace with its centroid at the coordinate origin. The structure is added to the project as a new entry, with the SMILES string for the structure as the title.",,
main_edit_paste_by_placing,,,"Place the structure centroid by picking a location in the Workspace. This is useful when there are other structures that you want to position the structure near, or when the coordinate origin is off-screen. When you select this option, the pointer changes to an arrow, to indicate that you are picking a location in the Workspace to paste the structure, rather than an atom.",,
main_edit_paste_selected_text,,,"Paste a structure into the Workspace that is in the Linux paste buffer (selected text). To enable this option, you must run the Maestro command <code>workspacepastesettings enableselect=on</code> in the Commands text box, or add it to your <code>maestro.cmd</code> file to turn it on when Maestro starts.",,
main_edit_transform_advanced,,,"Opens the Advanced Transformations panel, for more complex atom selections to transform and to set the center of rotation.",,
main_edit_transform_disp_bondlen,,,Display bond length values while performing a local transformation.,,
main_edit_transform_pick,,,Pick atoms to perform a local transformation (rotation or translation). The atoms are marked in the Workspace and an axis marker is displayed to indicate the axis of rotation if you rotate. You can then translate or rotate the marked atoms with the usual actions.,,
main_editx_adjust_angles,,,Adjust an angle or dihedral defined by a set of contiguous bonds.<br/>Opens the Angles / Dihedrals banner.,,
main_editx_adjust_lengths,,,Adjust the length of a bond or the distance between two selected atoms.<br/>Opens the Lengths / Distances banner.,,
main_editx_rotate_carbonyl,,,Rotate the carbonyl in a peptide linkage around the axis between the alpha carbon and the nitrogen.<br/>Opens the Peptide Plane Rotations banner.,,
main_editx_rotate_dihedrals,,,Perform a dihedral rotation about a selected bond.<br/> Opens the Dihedral Rotations banner.,,
main_editx_rotate_peptide,,,Rotate a peptide linkage around the axis between the two alpha carbons.<br/>Opens the Carbonyl Plane Rotations banner.,,
main_entry_list,,,Show a list of project entries in a panel that is docked into the Workspace by default.<br/>Opens the Entry List panel.,,
main_find_toolbar,,,Display the Find toolbar so that you can find structural objects in the Workspace.,,
main_help_about_applications,,,Display information about Schr&ouml;dinger applications in the Help panel.,,
main_help_about_maestro,,,"Display information about the Maestro version, legal notices, and environment variables.",,
main_help_about_utilities,,,Display a PDF document with a brief description of all the utilities in the utilities folder of your installation.,,
main_help_configuration,,,Add licenses to the license server.,,
main_help_known_issues,,,"Open the Known Issues page on the Schr&ouml;dinger web site in your browser. If you are not logged in, you are prompted to log in before the page is displayed.",,
main_ligand_overlay,,,Display the 2D structure in a small window at the lower left of the Workspace.,,
main_manage_views,,,"Manage views of the Workspace: save, restore, delete, import, export, animate, and record a movie.<br/>Opens the Manage Views panel.",,
main_primex_task_export,,,"Export the final crystal structure to a PDB file. Opens a file selector to select the location and name the file, and runs a job that includes an R-factor calculation.",,
main_primex_task_ligand_placement,,,"<!-- PrimeX -->
Fit a ligand or other bound molecule to observed electron density, with additional optional optimization.<br/>Opens the Ligand/Solvent Placement panel.",,
main_primex_task_mutate_model,,,"<!-- PrimeX -->
Mutate the model to match the reference sequence and start a side-chain prediction job for the mutated residues.",,
main_primex_task_optimize_hbond,,,"<!-- PrimeX -->
Interactively or automatically assign orientations of hydrogen-bonded groups in proteins (including waters) and of the imidazole ring in His and the terminal amides in Asn and Gln.<br/>Opens the Interactive H-Bond Optimizer panel.",,
main_primex_task_reciprocal_space,,,"<!-- PrimeX -->
Perform reciprocal space refinements. Coordinates may be refined by rigid body or geometry-restrained minimization, or by simulated annealing. B-factors (grouped or individual anisotropic) and grouped occupancy may be refined by minimization.<br/>Opens the Reciprocal-Space Refinement panel.",,
main_primex_task_rfactor_calc,,,"<!-- PrimeX -->
Calculate R-factors for the structure in the Workspace.<br/>Opens the R-Factor Calculation panel.",,
main_primex_task_rs_refine,,,"<!-- PrimeX -->
Improve the fit of the model to the observed electron density using real-space refinement methods: loop building, side chain placement and real-space minimization.<br/>Opens the Real-Space Refinement panel.",,
main_primex_task_water_placement,,,"<!-- PrimeX -->
Place water molecules in locations that have sufficient electron density and meet other specified criteria.<br/>Opens the Water Placement panel.",,
main_project_exportstructures,,,Export structures from the project to a file.,,
main_protein_splicer,,splicer_gui.panel,,,
main_save_view,,,Save the current Workspace view (the camera angle and zoom level) as a named view. <br/>Opens the Save View dialog box so you can name the view.,,
main_scene_exit,,,"Stop viewing scenes. The Scenes toolbar is hidden, and the Workspace returns to its state before viewing scenes.",,
main_scene_first,,,Display the first scene in the Workspace.,,
main_scene_last,,,Display the last scene in the Workspace.,,
main_scene_next,,,Display the next scene in the Workspace.,,
main_scene_previous,,,Display the previous scene in the Workspace.,,
main_script_install,,,Install Python scripts and macros into Maestro.<br/>Opens the Install Scripts panel.,,
main_script_manage,,,Manage user-installed or standard Python scripts and macros.<br/>Opens the Manage Scripts panel.,,
main_script_update,,,Update user-installed or standard Python scripts and macros from the web site.<br/>Opens the Update Scripts From Website panel.,,
main_select_add_mode,,,"When picking in the Workspace, add the atoms to the selection.",,
main_select_ligand,,,Select all ligand atoms in the Workspace.,,
main_select_normal_mode,,,"When picking in the Workspace, the picked atoms replace the current selection.",,
main_select_previous,,,,,
main_select_protein,,,Select all protein atoms in the Workspace.,,
main_select_remove_mode,,,"When picking in the Workspace, remove the picked atoms from the selection.",,
main_select_solvent,,,Select all solvent molecule atoms in the Workspace.,,
main_select_visible,,,Select only the atoms that are shown in the Workspace.,,
main_sequence_viewer,,,Show or hide the sequence viewer.,,
main_status_bar,,,Show or hide the status bar.,,
main_task_tree,,,"Show a tree-based interface for the Tasks menu, in which you can search for panels by text in the menus or panel descriptions, open panels, and create a Favorites list to apply to the menus or the tree.<br/>Opens the Task Tree panel.",,
main_toggle_3Dbuilder,,,Show or hide the 3D Builder panel.,,
main_tools_minimize_all,,,Minimize the energy with respect to the coordinates for all atoms in the Workspace using the default force field.,,
main_tools_minimize_ligand,,,Minimize the energy with respect to the coordinates for the ligand atoms in the Workspace using the default force field.,,
main_tools_minimize_select,,,Minimize the energy with respect to the coordinates for the selected atoms in the Workspace using the default force field.,,
main_view_clip_to_all,,,Move the clipping planes so that all atoms are between the planes and occupy the entire distance between the planes.,,
main_view_clip_to_ligand,,,Move the clipping planes so that the Workspace ligands are between the planes and occupy the entire distance between the planes.,,
main_view_clip_to_selected,,,Move the clipping planes so that the selected atoms are between the planes and occupy the entire distance between the planes.,,
main_view_clipping_planes_fatten,,,Move the front plane toward the viewer and the back plane away from the viewer (increases the viewing volume).,,
main_view_clipping_planes_pull,,,Move the clipping planes toward the viewer.,,
main_view_clipping_planes_push,,,Move the clipping planes away from the viewer.,,
main_view_clipping_planes_slim,,,Move the front plane away from the viewer and the back plane toward the viewer (decreases the viewing volume).,,
main_view_fit,,,"Fit the selected atoms (or all atoms, if there is no selection) to the Workspace. The view changes so that the selected atoms fill the Workspace area, within a predefined margin.",,
